config_id,year,net_pnl_usd,transaction_cost_usd,max_drawdown_fraction,execution_side_count,signal_abstention_sessions,risk_shutdown_sessions,kill_triggered,continuous_net_pnl_usd,continuous_max_drawdown_fraction,complexity
s-half__l-none__p-half__u-half_high,2018,-4235.0,645.0,0.056874138270632264,43.0,39,50,True,-4089.9999999999854,0.149793184951743,3
s-half__l-half__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,39,302,True,1940.0000000000146,0.16052464151128062,2
s-half__l-half__p-none__u-half_high,2018,-4200.0,705.0,0.056854540979571745,47.0,39,50,True,-4054.9999999999854,0.14974157026827453,3
s-half__l-half__p-half__u-none,2018,-3625.0,795.0,0.05667302892379974,53.0,39,50,True,2415.0000000000146,0.1558752997601917,3
s-half__l-half__p-half__u-half_high,2018,-4065.0,720.0,0.05677907777013076,48.0,39,50,True,-3919.9999999999854,0.14954281781535725,4
s-half__l-veto__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,55,302,True,2070.0000000000146,0.15925219008466682,2
s-half__l-veto__p-none__u-half_high,2018,-4070.0,780.0,0.05678186913131115,52.0,55,50,True,-3924.9999999999854,0.14955016960818038,3
s-half__l-veto__p-half__u-none,2018,-3495.0,870.0,0.05646265154477904,58.0,55,50,True,2545.0000000000146,0.1555533828705513,3
s-half__l-veto__p-half__u-half_high,2018,-3935.0,795.0,0.05670659858601728,53.0,55,50,True,-3789.9999999999854,0.14935192458758823,4
s-veto__l-none__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,144,302,True,3640.0000000000146,0.13224752523528538,1
s-veto__l-none__p-none__u-half_high,2018,-3160.0,795.0,0.05462000292868648,53.0,144,50,True,-2354.9999999999854,0.1255430272855956,2
s-veto__l-none__p-half__u-none,2018,-2625.0,885.0,0.05433621443138778,59.0,144,50,True,4075.0000000000146,0.1316888414101193,2
s-veto__l-none__p-half__u-half_high,2018,-3065.0,810.0,0.0545693943236126,54.0,144,50,True,-2259.9999999999854,0.12542670437920594,3
s-veto__l-half__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,144,302,True,3770.0000000000146,0.13208006623484134,2
s-veto__l-half__p-none__u-half_high,2018,-3030.0,870.0,0.054550772680739046,58.0,144,50,True,-2224.9999999999854,0.12538390289084955,3
s-veto__l-half__p-half__u-none,2018,-2455.0,960.0,0.05424665503199535,64.0,144,50,True,4245.000000000015,0.13147178592204756,3
s-veto__l-half__p-half__u-half_high,2018,-2895.0,885.0,0.05447906523855891,59.0,144,50,True,-2089.9999999999854,0.12521908471275545,4
s-veto__l-veto__p-none__u-none,2018,-940.0,30.0,0.030392012920276025,2.0,160,302,True,3900.0000000000146,0.13191303078943514,2
s-veto__l-veto__p-none__u-half_high,2018,-2900.0,945.0,0.05448171770777545,63.0,160,50,True,-2094.9999999999854,0.12522518136228625,3
s-veto__l-veto__p-half__u-none,2018,-2325.0,1035.0,0.05417836738646267,69.0,160,50,True,4375.000000000015,0.13130628449694962,3
s-veto__l-veto__p-half__u-half_high,2018,-2765.0,960.0,0.05441019157833317,64.0,160,50,True,-1959.9999999999854,0.12506077992803644,4
s-none__l-none__p-none__u-none,2019,3460.0,210.0,0.03744708563985672,14.0,51,290,True,12640.0,0.04884402474763921,0
s-none__l-none__p-none__u-half_high,2019,13480.0,1635.0,0.03662901501417747,109.0,51,0,False,13480.0,0.03662901501417747,1
s-none__l-none__p-half__u-none,2019,3290.0,195.0,0.036114221724524075,13.0,51,290,True,11685.0,0.05384471817842479,1
s-none__l-none__p-half__u-half_high,2019,12490.0,1665.0,0.04197461999721099,111.0,51,0,False,12490.0,0.04197461999721099,2
s-none__l-half__p-none__u-none,2019,13170.0,1680.0,0.04116909065563868,112.0,51,0,False,13170.0,0.04116909065563868,1
s-none__l-half__p-none__u-half_high,2019,11675.0,1620.0,0.033742911153119094,108.0,51,0,False,11675.0,0.033742911153119094,2
s-none__l-half__p-half__u-none,2019,12360.0,1740.0,0.046788521464117945,116.0,51,0,False,12360.0,0.046788521464117945,2
s-none__l-half__p-half__u-half_high,2019,10660.0,1635.0,0.03923236906787673,109.0,51,0,False,10660.0,0.03923236906787673,3
s-none__l-veto__p-none__u-none,2019,13700.0,1620.0,0.037264783392667256,108.0,79,0,False,13700.0,0.037264783392667256,1
s-none__l-veto__p-none__u-half_high,2019,12205.0,1560.0,0.03344575604272063,104.0,79,0,False,12205.0,0.03344575604272063,2
s-none__l-veto__p-half__u-none,2019,12890.0,1680.0,0.04285251515572215,112.0,79,0,False,12890.0,0.04285251515572215,2
s-none__l-veto__p-half__u-half_high,2019,11190.0,1575.0,0.035361610081820746,105.0,79,0,False,11190.0,0.035361610081820746,3
s-half__l-none__p-none__u-none,2019,2790.0,180.0,0.04001867849638104,12.0,51,290,True,9125.0,0.0493112304459491,1
s-half__l-none__p-none__u-half_high,2019,11055.0,1410.0,0.03165684527888173,94.0,51,0,False,11055.0,0.03165684527888173,2
s-half__l-none__p-half__u-none,2019,2620.0,165.0,0.038688524590163934,11.0,51,290,True,8505.0,0.0517096018735363,2
s-half__l-none__p-half__u-half_high,2019,10485.0,1410.0,0.03302945622795364,94.0,51,0,False,10485.0,0.03302945622795364,3
s-half__l-half__p-none__u-none,2019,9655.0,1575.0,0.031878191269147614,105.0,51,0,False,9655.0,0.031878191269147614,2
s-half__l-half__p-none__u-half_high,2019,9250.0,1395.0,0.03206551915602443,93.0,51,0,False,9250.0,0.03206551915602443,3
s-half__l-half__p-half__u-none,2019,9180.0,1560.0,0.033227337665330196,104.0,51,0,False,9180.0,0.033227337665330196,3
s-half__l-half__p-half__u-half_high,2019,8655.0,1380.0,0.03346484103040148,92.0,51,0,False,8655.0,0.03346484103040148,4
s-half__l-veto__p-none__u-none,2019,10185.0,1515.0,0.033064258676517536,101.0,79,0,False,10185.0,0.033064258676517536,2
s-half__l-veto__p-none__u-half_high,2019,9780.0,1335.0,0.033256880733944956,89.0,79,0,False,9780.0,0.033256880733944956,3
s-half__l-veto__p-half__u-none,2019,9710.0,1500.0,0.034403984100150775,100.0,79,0,False,9710.0,0.034403984100150775,3
s-half__l-veto__p-half__u-half_high,2019,9185.0,1320.0,0.03464777067132931,88.0,79,0,False,9185.0,0.03464777067132931,4
s-veto__l-none__p-none__u-none,2019,2120.0,150.0,0.04627597478402989,10.0,187,290,True,5610.0,0.06047163203362129,1
