trade_date,session_open,contract_id,forecast_id,signal_requested_position,signal_abstained,risk_shutdown,prior_target_position,target_position,order_delta,execution_side_count,roll_side_count,transaction_cost_usd,gross_pnl_usd,net_pnl_usd,equity_usd,peak_equity_usd,daily_loss_usd,drawdown_fraction,risk_state,kill_reason,no_trade_reason,signal_reason,roll_at_open,next_selected_contract_id,score_year
2022-01-12 00:00:00+00:00,2022-01-12 00:00:00+00:00,NGG2@2022-01-27,f70f4ae78042f112b341,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-13 00:00:00+00:00,2022-01-13 00:00:00+00:00,NGG2@2022-01-27,8b7c9152368e406f191d,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-14 00:00:00+00:00,2022-01-14 00:00:00+00:00,NGG2@2022-01-27,cac9678fea2f00ecc3b2,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-16 00:00:00+00:00,2022-01-16 00:00:00+00:00,NGG2@2022-01-27,ad829f642cea97a2019c,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-17 00:00:00+00:00,2022-01-17 00:00:00+00:00,NGG2@2022-01-27,ad829f642cea97a2019c,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-18 00:00:00+00:00,2022-01-18 00:00:00+00:00,NGG2@2022-01-27,ad829f642cea97a2019c,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-19 00:00:00+00:00,2022-01-19 00:00:00+00:00,NGG2@2022-01-27,efa88797785e28a20fd4,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-20 00:00:00+00:00,2022-01-20 00:00:00+00:00,NGG2@2022-01-27,db992a42be40660005d1,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
2022-01-21 00:00:00+00:00,2022-01-21 00:00:00+00:00,NGG2@2022-01-27,28837aecef5aee25ea41,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,specialist_veto,False,NGG2@2022-01-27,2022
2022-01-23 00:00:00+00:00,2022-01-23 00:00:00+00:00,NGG2@2022-01-27,1a49fa09a9a70a98f6f7,-1.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96930.0,100995.0,0.0,0.040249517302836775,killed,daily_loss_limit,risk_killed_until_explicit_operator_restart,forecast_signal,False,NGG2@2022-01-27,2022
